Front,Back,Tags
Czym różni się uczenie nadzorowane od nienadzorowanego?,"W uczeniu nadzorowanym próbki mają etykiety i model uczy się mapowania wejścia na cel. W nienadzorowanym model szuka struktury bez jawnych etykiet, np. klastrów lub reprezentacji. Modele w pracy były trenowane głównie nadzorowanie.",Bank_37+:_uczenie_maszynowe Bank_37_plus
"Czym różni się klasyfikacja, regresja, detekcja i segmentacja?","Klasyfikacja przypisuje klasę całej próbce, regresja przewiduje wartości ciągłe, detekcja przewiduje klasy i położenia wielu obiektów, a segmentacja przypisuje etykietę pikselom.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Czym jest funkcja straty?,To różniczkowalna miara błędu używana do obliczenia gradientu i aktualizacji wag. Nie musi być identyczna z metryką raportowaną użytkownikowi.,Bank_37+:_uczenie_maszynowe Bank_37_plus
Dlaczego strata walidacyjna i końcowa metryka mogą dawać inny ranking modeli?,"Strata jest lokalnym celem optymalizacji, a metryka może obejmować progi, ranking confidence, NMS, klasy, całe strony lub percepcję. Dobra optymalizacja surrogate loss nie gwarantuje najlepszego wyniku zadaniowego.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest gradient descent?,Metoda aktualizacji parametrów w kierunku przeciwnym do gradientu funkcji straty. Learning rate określa wielkość kroku.,Bank_37+:_uczenie_maszynowe Bank_37_plus
Czym różni się SGD od Adam?,"SGD korzysta bezpośrednio z gradientu, często z momentum. Adam adaptuje krok dla każdego parametru na podstawie estymat pierwszego i drugiego momentu gradientu, zwykle szybciej osiągając dobre rozwiązanie.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Czym AdamW różni się od Adam z naiwnym L2?,AdamW rozdziela weight decay od adaptacyjnej aktualizacji gradientu. Dzięki temu regularyzacja ma bardziej przewidywalne działanie.,Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest learning rate?,"To współczynnik określający wielkość aktualizacji wag. Zbyt wysoki powoduje niestabilność, a zbyt niski bardzo wolne uczenie lub utknięcie.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Po co stosuje się scheduler learning rate?,"Pozwala zmniejszać krok, gdy trening przestaje się poprawiać. W OMR użyto ReduceLROnPlateau, który reaguje na brak poprawy monitorowanej metryki.",Bank_37+:_uczenie_maszynowe Bank_37_plus
"Co to jest epoch, batch i optimizer step?","Epoch to przejście przez zbiór treningowy, batch to grupa próbek przetwarzanych razem, a optimizer step to pojedyncza aktualizacja wag. Ta sama liczba epok nie gwarantuje tej samej liczby kroków, jeśli zbiory mają różną wielkość.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest batch size i jak wpływa na trening?,"Określa liczbę próbek używanych do jednego gradientu. Większy batch daje stabilniejszy gradient, ale wymaga więcej pamięci. W OMR batch 1 wynikał z dużych obrazów i wielu obiektów.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest overfitting?,"Model uczy się szczegółów danych treningowych, które nie generalizują. Objawia się poprawą treningu przy pogarszaniu lub stagnacji walidacji.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Jak ograniczać overfitting?,"Większa liczba danych, augmentacja, weight decay, dropout, early stopping, prostszy model, transfer learning i poprawny podział danych.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest underfitting?,"Model jest zbyt prosty, za krótko trenowany lub źle optymalizowany i nie osiąga dobrego wyniku nawet na danych treningowych.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest early stopping?,"Zatrzymanie treningu po określonej liczbie epok bez wystarczającej poprawy walidacji. Ogranicza przeuczenie i koszt, ale zależy od jakości zbioru walidacyjnego.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest dropout?,Podczas treningu losowo zeruje część aktywacji. Zmusza model do rozproszenia informacji i działa jak regularyzacja. W inferencji dropout jest wyłączony.,Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest weight decay?,"Kara za duże wartości wag, która ogranicza złożoność rozwiązania. W AdamW jest stosowana jako bezpośrednie zmniejszanie parametrów.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest gradient clipping?,"Ograniczenie normy lub wartości gradientu. Chroni przed eksplozją gradientów, szczególnie w modelach sekwencyjnych i niestabilnych treningach.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest mixed precision?,"Używanie niższej precyzji, np. FP16, tam gdzie jest bezpieczna, oraz FP32 dla wrażliwych operacji. Zmniejsza pamięć i przyspiesza trening na GPU.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Czym jest seed losowy?,"Wartość inicjalizująca generatory liczb losowych. Pomaga odtwarzać eksperyment, ale jeden seed nie opisuje zmienności metody.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest hiperparametr?,"Parametr ustalany poza procesem uczenia, np. learning rate, batch size, liczba warstw, próg confidence, rozmiar kafla lub siła augmentacji.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Czym różni się parametr modelu od hiperparametru?,"Parametry, np. wagi sieci, są uczone przez optymalizację. Hiperparametry są wybierane przez badacza lub zewnętrzny algorytm strojenia.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest transfer learning?,"Wykorzystanie modelu lub encodera wytrenowanego wcześniej na innym zadaniu. Może przyspieszyć uczenie i poprawić generalizację, ale domena źródłowa może być niedopasowana.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest fine-tuning?,"Dalszy trening wstępnie wyuczonego modelu na nowym zbiorze lub rozkładzie danych, zwykle z mniejszym learning rate.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest ablation study?,"Kontrolowane usunięcie albo zmiana składnika systemu w celu określenia jego wpływu. W pracy przykładem jest porównanie źródła F: score, blend i predicted. 0",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest baseline?,"Punkt odniesienia, który powinien być poprawnie zaimplementowany i oceniany na tych samych danych oraz metrykach. Pozwala stwierdzić, czy złożone rozwiązanie rzeczywiście coś poprawia.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest data leakage?,"Przepływ informacji z walidacji lub testu do treningu albo wyboru modelu. Powoduje optymistyczny wynik, który może nie powtórzyć się na nowych danych.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest domain shift?,"Różnica rozkładu pomiędzy danymi treningowymi i docelowymi, np. czyste syntetyczne partytury kontra zdjęcia z telefonu.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest class imbalance?,"Duża różnica liczby przykładów klas. Model może ignorować rzadkie klasy lub faworyzować tło. Rozwiązania obejmują ważenie strat, sampling, focal loss i augmentację.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Dlaczego dokładność nie zawsze jest dobrą metryką?,"Przy niezbalansowanych klasach można osiągnąć wysoką accuracy, ignorując klasę rzadką. W segmentacji tekstu prawie wszystkie piksele są tłem.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Co oznacza istotność statystyczna?,"Ocena, czy obserwowana różnica jest mało prawdopodobna przy założeniu braku realnego efektu. W uczeniu maszynowym należy dodatkowo raportować rozmiar efektu, wariancję i praktyczne znaczenie różnicy.",Bank_37+:_uczenie_maszynowe Bank_37_plus
Dlaczego warto raportować średnią i odchylenie po wielu seedach?,Pokazują typowy wynik oraz stabilność metody. Pojedynczy najlepszy run może być szczęśliwym przypadkiem. 4. Pytania ogólne: przetwarzanie obrazu i lokalizacja tekstu,Bank_37+:_uczenie_maszynowe Bank_37_plus
Co to jest obraz rastrowy?,"Macierz pikseli. Każdy piksel przechowuje wartość jasności lub kanały barw. Rozdzielczość określa liczbę pikseli, a nie fizyczny rozmiar dokumentu.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest binaryzacja obrazu?,"Przekształcenie obrazu do dwóch klas, zwykle atrament i tło. Może być globalna lub adaptacyjna. Jest użyteczna w morfologii i analizie pięciolinii.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Czym różni się progowanie globalne od adaptacyjnego?,"Globalne używa jednego progu dla całego obrazu. Adaptacyjne wyznacza próg lokalnie, więc lepiej radzi sobie z nierównym oświetleniem, ale może wzmacniać lokalny szum.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest erozja?,"Operacja morfologiczna zmniejszająca jasny obszar maski. Może usuwać drobny szum i rozdzielać połączone elementy, ale może zniszczyć cienkie znaki.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest dylatacja?,"Powiększa jasny obszar maski. Łączy bliskie fragmenty i wzmacnia cienkie elementy, ale może scalać osobne obiekty.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Czym są opening i closing?,"Opening to erozja, a potem dylatacja: usuwa małe jasne elementy. Closing to dylatacja, a potem erozja: zamyka przerwy i łączy bliskie fragmenty.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest kontur?,Granica spójnego obszaru maski. Analiza konturów pozwala obliczyć pole i bounding box regionu.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest connected component?,Maksymalny zbiór sąsiadujących pikseli tej samej klasy. Jest alternatywnym sposobem wyznaczania regionów po segmentacji.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Czym różni się segmentacja semantyczna od detekcji?,"Segmentacja przewiduje klasę każdego piksela, a detekcja zwraca prostokąty i klasy obiektów. Segmentacja daje dokładniejszy kształt, detekcja prostsze instancje.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Czym różni się segmentacja semantyczna od instancyjnej?,Semantyczna łączy wszystkie obiekty tej samej klasy w jedną maskę klasową. Instancyjna rozróżnia osobne obiekty.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
