Front,Back,Tags
Jaka jest kolejność klas w hierarchii Chomsky'ego od najprostszej do najszerszej?,Typ 3: języki regularne i automaty skończone. Typ 2: języki bezkontekstowe i automaty ze stosem. Typ 1: języki kontekstowe i liniowo ograniczone maszyny Turinga. Typ 0: gramatyki bez ograniczeń i maszyny Turinga.,Teoria_i_złożoność
Jaki automat odpowiada językom bezkontekstowym?,"Językom bezkontekstowym odpowiada automat ze stosem. Stos daje pamięć LIFO, dzięki której można rozpoznawać struktury zagnieżdżone, np. poprawne nawiasowania albo język a^n b^n.",Teoria_i_złożoność
Co oznacza zapis T(n) = O(g(n))?,"Zapis T(n)=O(g(n)) oznacza asymptotyczne ograniczenie górne: istnieją stałe c>0 i n0 takie, że dla każdego n>=n0 zachodzi T(n)<=c*g(n). Notacja O ignoruje stałe i małe instancje, dlatego mówi o tempie wzrostu, a nie o dokładnym czasie dla konkretnego wejścia. Jeśli chcemy podać dokładną klasę wzrostu, używamy Theta; jeśli dolne ograniczenie, Omega.",Teoria_i_złożoność
Jaka jest różnica między klasami P i NP?,"P to klasa problemów decyzyjnych rozwiązywalnych w czasie wielomianowym przez deterministyczną maszynę Turinga, czyli praktycznie: mających znany efektywny algorytm. NP to problemy, dla których odpowiedź TAK ma certyfikat weryfikowalny w czasie wielomianowym. Każdy problem z P należy do NP, bo rozwiązanie można po prostu obliczyć i zweryfikować. Otwarte pytanie P=NP pyta, czy szybka weryfikacja zawsze oznacza szybkie znajdowanie rozwiązania.",Teoria_i_złożoność
"Co znaczy, że problem jest NP-zupełny?","Problem jest NP-zupełny, gdy należy do NP i każdy problem z NP redukuje się do niego w czasie wielomianowym. To oznacza, że jest jednym z najtrudniejszych problemów w NP: gdyby znaleziono dla niego algorytm wielomianowy, to wszystkie problemy z NP miałyby algorytmy wielomianowe. W dowodzie zwykle pokazuje się: problem jest w NP oraz znany problem NP-zupełny redukuje się do niego.",Teoria_i_złożoność
Dlaczego w testowaniu algorytmów losowych trzeba zapisywać ziarna generatorów?,"Bez ziaren trudno odtworzyć przebieg, odróżnić błąd od naturalnej losowości i porównać poprawki kodu. Reprodukowalność jest pierwszym warunkiem sensownego debugowania metod losowych.",Teoria_i_złożoność
Co jest typowym błędem w eksperymentach obliczeniowych z ML?,"Częsty błąd to przeciek danych: selekcja cech, skalowanie, imputacja albo dobór parametrów wykonane z użyciem zbioru testowego. Wynik testowy staje się wtedy zawyżony.",Teoria_i_złożoność
Na czym polega problem komiwojażera?,"Trzeba znaleźć najkrótszy cykl odwiedzający każde miasto dokładnie raz i wracający do punktu startowego. Wersja optymalizacyjna jest NP-trudna, a decyzyjna jest NP-zupełna.",Algorytmy_i_numeryczne
Jaką gwarancję daje algorytm Christofidesa dla symetrycznego metrycznego TSP?,"Daje rozwiązanie o koszcie co najwyżej 3/2 optimum. Wykorzystuje MST, minimalne skojarzenie doskonałe na wierzchołkach nieparzystych, cykl Eulera i skracanie powtórzeń.",Algorytmy_i_numeryczne
Czym interpolacja różni się od aproksymacji?,Interpolacja wymaga dokładnego przejścia przez zadane punkty. Aproksymacja dopuszcza błąd w punktach i szuka funkcji najlepiej pasującej według wybranego kryterium.,Algorytmy_i_numeryczne
